,id,pts,offset
Montague St & Clinton St-Clark St & Henry St,0,2,0
Montague St & Clinton St-Columbia Heights & Cranberry St,1,2,2
Montague St & Clinton St-Pierrepont St & Monroe Pl,2,2,4
Montague St & Clinton St-Clinton St & Tillary St,3,2,6
Montague St & Clinton St-Henry St & Degraw St,4,2,8
Montague St & Clinton St-Kane St & Clinton St,5,2,10
Montague St & Clinton St-Court St & State St,6,2,12
Montague St & Clinton St-Hicks St & Montague St,7,2,14
Montague St & Clinton St-Henry St & Atlantic Ave,8,2,16
Montague St & Clinton St-Front St & Jay St,9,2,18
11 Ave & W 27 St-W 26 St & 8 Ave,10,2,20
11 Ave & W 27 St-W 26 St & 10 Ave,11,2,22
11 Ave & W 27 St-W 25 St & 6 Ave,12,2,24
11 Ave & W 27 St-8 Ave & W 31 St,13,2,26
11 Ave & W 27 St-8 Ave & W 16 St,14,2,28
11 Ave & W 27 St-W 24 St & 7 Ave,15,2,30
11 Ave & W 27 St-10 Ave & W 28 St,16,2,32
11 Ave & W 27 St-West St & Chambers St,17,2,34
11 Ave & W 27 St-West St & Liberty St,18,2,36
11 Ave & W 27 St-W 20 St & 7 Ave,19,2,38
Grand Concourse & E 156 St-Grand Concourse & E 167 St,20,2,40
Grand Concourse & E 156 St-Grand Concourse & E 161 St,21,2,42
Grand Concourse & E 156 St-River Ave & E 151 St,22,2,44
Grand Concourse & E 156 St-Willis Ave & E 143 St,23,2,46
Grand Concourse & E 156 St-E 161 St & River Ave,24,2,48
Grand Concourse & E 156 St-Cauldwell Ave & E 161 St,25,2,50
Grand Concourse & E 156 St-Grand Concourse & E 164 St,26,2,52
Grand Concourse & E 156 St-Walton Ave & E 153 St,27,2,54
Grand Concourse & E 156 St-Grand Concourse & E 144 St,28,2,56
Grand Concourse & E 156 St-Lenox Ave & W 146 St,29,2,58
W 190 St & St. Nicholas Ave-W 168th S & Fort Washington Ave,30,2,60
W 190 St & St. Nicholas Ave-Wadsworth Ave & W 179 St,31,2,62
W 190 St & St. Nicholas Ave-Broadway & W 168 St,32,2,64
W 190 St & St. Nicholas Ave-Amsterdam Ave & W 189 St,33,2,66
W 190 St & St. Nicholas Ave-Nagle Ave & Thayer St,34,2,68
W 190 St & St. Nicholas Ave-W 186 St & St. Nicholas Ave,35,2,70
W 190 St & St. Nicholas Ave-W 190 St & Broadway,36,2,72
W 190 St & St. Nicholas Ave-Creston Ave & E 178 St,37,2,74
W 190 St & St. Nicholas Ave-Wadsworth Ave & W 175 St,38,2,76
W 190 St & St. Nicholas Ave-Amsterdam Ave & W 186 St,39,2,78
Madison St & Cypress Ave-Madison St & Woodward Ave,40,2,80
Madison St & Cypress Ave-Wyckoff Av & Stanhope St,41,2,82
Madison St & Cypress Ave-Menahan St & Seneca Ave,42,2,84
Madison St & Cypress Ave-64 St & Woodbine St,43,2,86
Madison St & Cypress Ave-Madison St & Seneca Ave,44,2,88
Madison St & Cypress Ave-Madison St & Forest Ave,45,2,90
Madison St & Cypress Ave-Myrtle Ave & 65 St,46,2,92
Madison St & Cypress Ave-Onderdonk Ave & Dekalb Ave,47,2,94
Madison St & Cypress Ave-Cooper Ave & 65 Pl,48,2,96
Madison St & Cypress Ave-Cypress Ave & Palmetto St,49,2,98
Southern Blvd & Tiffany St-Longwood Ave & Southern Blvd,50,2,100
Southern Blvd & Tiffany St-Barry St & Tiffany St,51,2,102
Southern Blvd & Tiffany St-Intervale Ave & Westchester Ave,52,2,104
Southern Blvd & Tiffany St-E 170 St & Webster Ave,53,2,106
Southern Blvd & Tiffany St-St. Nicholas Ave & W 126 St,54,2,108
Southern Blvd & Tiffany St-Pleasant Ave & E 120 St,55,2,110
Southern Blvd & Tiffany St-Beck St & Leggett Ave,56,2,112
Southern Blvd & Tiffany St-Courtlandt Ave & E 149 St,57,2,114
Southern Blvd & Tiffany St-Walton Ave & E 171 St,58,2,116
Crown St & Rogers Ave-Eastern Pkwy & Franklin Ave,59,2,118
Crown St & Rogers Ave-Prospect Pl & Nostrand Ave,60,2,120
Crown St & Rogers Ave-Union St & Bedford Ave,61,2,122
Crown St & Rogers Ave-Grand Ave & Bergen St,62,2,124
Crown St & Rogers Ave-West Drive & Prospect Park West,63,2,126
Crown St & Rogers Ave-Bergen St & 4 Ave,64,2,128
Crown St & Rogers Ave-Monroe St & Tompkins Ave,65,2,130
Crown St & Rogers Ave-Fulton St & Waverly Ave,66,2,132
Crown St & Rogers Ave-Bergen St & Vanderbilt Ave,67,2,134
Crown St & Rogers Ave-Carroll St & Washington Ave,68,2,136
Leonard St & Maujer St-Devoe St & Lorimer St,69,2,138
Leonard St & Maujer St-Metropolitan Ave & Bedford Ave,70,2,140
Leonard St & Maujer St-Scholes St & Manhattan Ave,71,2,142
Leonard St & Maujer St-Union Ave & N 12 St,72,2,144
Leonard St & Maujer St-N 6 St & Bedford Ave,73,2,146
Leonard St & Maujer St-Bedford Ave & Nassau Ave,74,2,148
Leonard St & Maujer St-Grand St & Havemeyer St,75,2,150
Leonard St & Maujer St-Montrose Ave & Bushwick Ave,76,2,152
Leonard St & Maujer St-Wythe Ave & Metropolitan Ave,77,2,154
Leonard St & Maujer St-Hope St & Union Ave,78,2,156
Carlton Ave & Flushing Ave-Jay St & York St,79,2,158
Carlton Ave & Flushing Ave-Adelphi St & Myrtle Ave,80,2,160
Carlton Ave & Flushing Ave-Sands St & Jay St,81,2,162
Carlton Ave & Flushing Ave-Clinton Ave & Myrtle Ave,82,2,164
Carlton Ave & Flushing Ave-Sands St Gate,83,2,166
Carlton Ave & Flushing Ave-Forsyth St & Canal St,84,2,168
Carlton Ave & Flushing Ave-Carlton Ave & Park Ave,85,2,170
Carlton Ave & Flushing Ave-Willoughby St & Fleet St,86,2,172
Carlton Ave & Flushing Ave-Washington Park,87,2,174
Carlton Ave & Flushing Ave-Nassau St & Navy St,88,2,176
Jefferson Ave & Evergreen Ave-Wyckoff Ave & Gates Ave,89,2,178
Jefferson Ave & Evergreen Ave-Central Ave & Woodbine St,90,2,180
Jefferson Ave & Evergreen Ave-Wilson Ave & Moffat St,91,2,182
Jefferson Ave & Evergreen Ave-Grove St & Broadway,92,2,184
Jefferson Ave & Evergreen Ave-Madison St & Evergreen Ave,93,2,186
Jefferson Ave & Evergreen Ave-Halsey St & Broadway,94,2,188
Jefferson Ave & Evergreen Ave-Irving Ave & Palmetto St,95,2,190
Jefferson Ave & Evergreen Ave-Broadway & Hancock St,96,2,192
Jefferson Ave & Evergreen Ave-Suydam St & Knickerbocker Ave,97,2,194
Jefferson Ave & Evergreen Ave-Stockholm St & Wilson Ave,98,2,196
65 St & Roosevelt Ave-35 Ave & 10 St,99,2,198
65 St & Roosevelt Ave-72 St & 41 Ave,100,2,200
65 St & Roosevelt Ave-Wilson Ave & Moffat St,101,2,202
65 St & Roosevelt Ave-Shore Blvd & Astoria Park,102,2,204
65 St & Roosevelt Ave-51 St & 43 Ave,103,2,206
65 St & Roosevelt Ave-53 St & Roosevelt Ave,104,2,208
65 St & Roosevelt Ave-65 Pl & Woodside Ave,105,2,210
65 St & Roosevelt Ave-62 St & 43 Ave,106,2,212
65 St & Roosevelt Ave-61 St & Queens Blvd,107,2,214
Fulton St & Waverly Ave-Lafayette Ave & Ft Greene Pl,108,2,216
Fulton St & Waverly Ave-Clinton Ave & Myrtle Ave,109,2,218
Fulton St & Waverly Ave-Hanson Pl & Ashland Pl,110,2,220
Fulton St & Waverly Ave-Lefferts Pl & Franklin Ave,111,2,222
Fulton St & Waverly Ave-Monroe St & Bedford Ave,112,2,224
Fulton St & Waverly Ave-DeKalb Ave & Vanderbilt Ave,113,2,226
Fulton St & Waverly Ave-7 Ave & Park Pl,114,2,228
Fulton St & Waverly Ave-Bergen St & Vanderbilt Ave,115,2,230
Fulton St & Waverly Ave-Albee Square W & Fulton St,116,2,232
Fulton St & Waverly Ave-Washington Ave & Greene Ave,117,2,234
20 Ave & 48 St-Steinway St & 21 Ave,118,2,236
20 Ave & 48 St-Steinway St & 23 Ave,119,2,238
20 Ave & 48 St-Hazen St & 20 Ave,120,2,240
20 Ave & 48 St-76 St & 21 Ave,121,2,242
20 Ave & 48 St-20 Ave & 42 St,122,2,244
20 Ave & 48 St-Ditmars Blvd & 43 St,123,2,246
20 Ave & 48 St-31 St & Ditmars Blvd,124,2,248
20 Ave & 48 St-Ditmars Blvd & 79 St,125,2,250
20 Ave & 48 St-21 Ave & 80 St,126,2,252
20 Ave & 48 St-20 Ave & 38 St,127,2,254
Grove St & Broadway-Madison St & Evergreen Ave,128,2,256
Grove St & Broadway-Bushwick Ave & Harman St,129,2,258
